EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
535581,Shooting Permit,03/04/2020 06:00:00 AM,03/04/2020 10:00:00 PM,03/02/2020 11:13:06 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   21 STREET between 9 AVENUE and 10 AVENUE,  WEST   23 STREET between 9 AVENUE and 10 AVENUE,  WEST   23 STREET between 9 AVENUE and 8 AVENUE,  WEST   22 STREET between 10 AVENUE and 9 AVENUE,  10 AVENUE between WEST   23 STREET and WEST   22 STREET,  10 AVENUE between WEST   21 STREET and WEST   22 STREET",Manhattan,4,10,Television,Episodic series,United States of America,10011
535272,Shooting Permit,03/04/2020 06:00:00 AM,03/04/2020 10:00:00 PM,02/28/2020 11:43:34 AM,"Mayor's Office of Film, Theatre & Broadcasting","BAY STREET between CLINTON STREET and COURT STREET,  CLINTON STREET between HALLECK STREET and BRYANT STREET,  BRYANT STREET between CLINTON STREET and COURT STREET,  COURT STREET between DEAD END and BRYANT STREET,  COURT STREET between BAY STREET and BRYANT STREET",Manhattan,"4, 6","10, 76",Television,Episodic series,United States of America,"10011, 11231"
535649,Shooting Permit,03/04/2020 06:00:00 AM,03/04/2020 07:00:00 PM,03/02/2020 01:16:15 PM,"Mayor's Office of Film, Theatre & Broadcasting","2 AVENUE between EAST   42 STREET and EAST   39 STREET,  9 AVENUE between WEST   42 STREET and WEST   40 STREET",Manhattan,"4, 6","10, 14, 17",Commercial,Commercial,United States of America,"10016, 10017, 10018, 10036"
535102,Shooting Permit,03/04/2020 06:00:00 AM,03/04/2020 09:00:00 PM,02/27/2020 03:27:45 PM,"Mayor's Office of Film, Theatre & Broadcasting","MESEROLE AVENUE between MOULTRIE STREET and HUMBOLDT STREET,  HUMBOLDT STREET between MESEROLE AVENUE and NORMAN AVENUE,  MESEROLE AVENUE between DIAMOND STREET and JEWEL STREET,  JEWEL STREET between MESEROLE AVENUE and CALYER STREET,  DIAMOND STREET between MESEROLE AVENUE and CALYER STREET,  CALYER STREET between JEWEL STREET and MOULTRIE STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
535745,Shooting Permit,03/04/2020 06:00:00 AM,03/04/2020 10:00:00 PM,03/02/2020 03:50:41 PM,"Mayor's Office of Film, Theatre & Broadcasting","SPRING STREET between WASHINGTON STREET and GREENWICH STREET,  GREENWICH STREET between SPRING STREET and CANAL STREET,  GREENWICH STREET between CANAL STREET and VESTRY STREET,  WATTS STREET between WASHINGTON STREET and GREENWICH STREET,  DESBROSSES STREET between GREENWICH STREET and HUDSON STREET",Manhattan,"1, 2",1,Television,Cable-episodic,United States of America,10013
535552,Shooting Permit,03/04/2020 07:00:00 AM,03/04/2020 09:00:00 PM,03/02/2020 09:45:25 AM,"Mayor's Office of Film, Theatre & Broadcasting","COVERT STREET between WYCKOFF AVENUE and IRVING AVENUE,  IRVING AVENUE between ELDERT STREET and COVERT STREET",Queens,"4, 5","104, 83",Television,Episodic series,United States of America,"11237, 11385"
535139,Shooting Permit,03/04/2020 07:00:00 AM,03/04/2020 10:00:00 PM,02/27/2020 04:29:01 PM,"Mayor's Office of Film, Theatre & Broadcasting","WINTHROP STREET between BROOKLYN AVENUE and KINGSTON AVENUE,  WINTHROP STREET between NEW YORK AVENUE and BROOKLYN AVENUE,  RUTLAND ROAD between BROOKLYN AVENUE and KINGSTON AVENUE,  ALBANY AVENUE between WINTHROP AVENUE and CLARKSON AVENUE",Brooklyn,9,71,Television,Episodic series,United States of America,11203
534777,Shooting Permit,03/04/2020 07:00:00 AM,03/04/2020 11:00:00 PM,02/26/2020 12:32:01 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   46 STREET between 2 AVENUE and 3 AVENUE,  EAST   45 STREET between 2 AVENUE and 3 AVENUE,  3 AVENUE between EAST   45 STREET and EAST   46 STREET,  3 AVENUE between EAST   46 STREET and EAST   47 STREET,  PARK AVENUE between EAST   46 STREET and EAST   47 STREET,  PARK AVENUE between EAST   47 STREET and EAST   48 STREET,  EAST   48 STREET between PARK AVENUE and LEXINGTON AVENUE,  EAST   47 STREET between LEXINGTON AVENUE and PARK AVENUE,  EAST   46 STREET between PARK AVENUE and LEXINGTON AVENUE",Manhattan,"5, 6","17, 18",Television,Cable-episodic,United States of America,"10017, 10167, 10172, 10177"
535347,Shooting Permit,03/04/2020 07:00:00 AM,03/04/2020 09:00:00 PM,02/28/2020 02:58:22 PM,"Mayor's Office of Film, Theatre & Broadcasting","MADISON AVENUE between EAST  117 STREET and EAST  118 STREET,  MADISON AVENUE between EAST  118 STREET and EAST  119 STREET,  EAST  118 STREET between PARK AVENUE and MADISON AVENUE,  EAST  120 STREET between PARK AVENUE and 5 AVENUE,  5 AVENUE between EAST  119 STREET and EAST  120 STREET,  1 AVENUE between EAST  125 STREET and EAST  126 STREET,  EAST  125 STREET between 1 AVENUE and 2 AVENUE,  EAST  120 STREET between 1 AVENUE and 2 AVENUE,  EAST  120 STREET between PLEASANT AVENUE and 1 AVENUE,  EAST 120 STREET between PLEASANT AVENUE and DEAD END,  PALADINO AVENUE between EAST  120 STREET and 1 AVENUE",Manhattan,"10, 11","25, 28",Television,Episodic series,United States of America,10035
534758,Shooting Permit,03/04/2020 07:00:00 AM,03/04/2020 10:00:00 PM,02/26/2020 11:49:02 AM,"Mayor's Office of Film, Theatre & Broadcasting","MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE,  KINGSLAND AVENUE between NORMAN AVENUE and GREENPOINT AVENUE",Brooklyn,1,94,Television,Episodic series,United States of America,11222
