EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
524950,Shooting Permit,01/01/2020 02:00:00 PM,01/01/2020 11:59:00 PM,12/30/2019 08:30:00 AM,"Mayor's Office of Film, Theatre & Broadcasting",BROADWAY between WEST   63 STREET and WEST   62 STREET,Manhattan,"4, 5, 7","18, 20",Film,Feature,United States of America,"10019, 10023"
524007,Theater Load in and Load Outs,01/02/2020 12:01:00 AM,01/06/2020 11:59:00 PM,12/17/2019 02:37:09 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   33 STREET between 7 AVENUE and 8 AVENUE,  WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   33 STREET",Manhattan,"4, 5",14,Theater,Theater,United States of America,"10001, 10121"
525144,Shooting Permit,01/02/2020 04:00:00 AM,01/02/2020 10:00:00 PM,12/31/2019 01:38:24 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,Cable-daily,United States of America,"10036, 10105"
524943,Shooting Permit,01/02/2020 11:00:00 AM,01/02/2020 10:00:00 PM,12/29/2019 08:04:42 PM,"Mayor's Office of Film, Theatre & Broadcasting",EAST   23 STREET between 1 AVENUE and 2 AVENUE,Manhattan,6,13,Film,Feature,United States of America,10010
524947,Shooting Permit,01/02/2020 04:00:00 PM,01/03/2020 09:00:00 PM,12/30/2019 02:25:50 AM,"Mayor's Office of Film, Theatre & Broadcasting","OLD FULTON STREET between ELIZABETH PLACE and FRONT STREET,  WATER STREET between OLD FULTON STREET and NEW DOCK STREET",Brooklyn,2,84,Film,Feature,United States of America,11201
525113,Shooting Permit,01/02/2020 04:00:00 PM,01/03/2020 02:00:00 AM,12/31/2019 09:35:36 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   49 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Film,Feature,United States of America,10019
523820,Theater Load in and Load Outs,01/03/2020 12:01:00 AM,01/03/2020 11:59:00 PM,12/16/2019 02:18:40 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET",Manhattan,"11, 3","23, 9",Theater,Theater,United States of America,"10003, 10029"
525156,Shooting Permit,01/03/2020 11:00:00 AM,01/03/2020 11:00:00 PM,12/31/2019 03:17:40 PM,"Mayor's Office of Film, Theatre & Broadcasting",EAST   23 STREET between 1 AVENUE and 2 AVENUE,Manhattan,6,13,Film,Feature,United States of America,10010
524649,Shooting Permit,01/03/2020 12:00:00 PM,01/03/2020 11:30:00 PM,12/23/2019 02:47:18 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   45 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,"14, 18",Theater,Theater,United States of America,10036
525102,Shooting Permit,01/03/2020 03:00:00 PM,01/04/2020 03:00:00 AM,12/31/2019 04:54:54 AM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   24 STREET between 5 AVENUE and 6 AVENUE,  WHITE STREET between BROADWAY and CORTLANDT ALLEY",Manhattan,"1, 5","13, 5",Film,Feature,United States of America,"10010, 10013"
523824,Theater Load in and Load Outs,01/04/2020 12:01:00 AM,01/05/2020 06:00:00 AM,12/16/2019 02:29:37 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET",Manhattan,"11, 3","23, 9",Theater,Theater,United States of America,"10003, 10029"
525149,Theater Load in and Load Outs,01/04/2020 01:00:00 AM,01/04/2020 11:59:00 PM,12/31/2019 02:09:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST  176 STREET between BROADWAY and WADSWORTH AVENUE,  WADSWORTH AVENUE between WEST  176 STREET and WEST  175 STREET",Manhattan,12,33,Theater,Theater,United States of America,10033
525258,Shooting Permit,01/04/2020 11:00:00 AM,01/04/2020 11:00:00 PM,01/02/2020 09:21:42 AM,"Mayor's Office of Film, Theatre & Broadcasting",7 AVENUE between WEST   27 STREET and WEST   28 STREET,Manhattan,5,"10, 13",Film,Feature,United States of America,10001
525124,Shooting Permit,01/04/2020 03:00:00 PM,01/05/2020 02:00:00 AM,12/31/2019 10:40:39 AM,"Mayor's Office of Film, Theatre & Broadcasting","GREENWICH STREET between WATTS STREET and DEBROSSES STREET,  LAIGHT STREET between HUDSON STREET and GREENWICH STREET",Manhattan,"1, 5","1, 14, 18",Film,Feature,United States of America,"10013, 10019, 10020, 10036, 10105, 10119"
525279,Shooting Permit,01/05/2020 12:01:00 AM,02/04/2020 11:59:00 PM,01/02/2020 09:57:53 AM,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET,  AMSTERDAM AVENUE between WEST   62 STREET and WEST   65 STREET",Manhattan,7,20,Television,Not Applicable,United States of America,10023
521535,Shooting Permit,01/05/2020 08:00:00 AM,01/05/2020 08:00:00 PM,12/02/2019 06:14:06 PM,"Mayor's Office of Film, Theatre & Broadcasting",6 AVENUE between WEST   52 STREET and WEST   53 STREET,Manhattan,5,18,Television,Cable-other,United States of America,10019
525411,Shooting Permit,01/06/2020 12:01:00 AM,12/31/2020 01:00:00 AM,01/02/2020 04:58:34 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   53 STREET between BROADWAY and 8 AVENUE,  BROADWAY between WEST   53 STREET and WEST   54 STREET",Manhattan,5,18,Television,Talk Show,United States of America,10019
524283,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/19/2019 11:29:06 AM,"Mayor's Office of Film, Theatre & Broadcasting","COOPER AVENUE between 83 STREET and 84 STREET,  83 STREET between DORAN AVENUE and COOPER AVENUE",Queens,5,104,Television,Episodic series,United States of America,11385
524196,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 09:00:00 PM,12/18/2019 04:09:09 PM,"Mayor's Office of Film, Theatre & Broadcasting",MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE,Brooklyn,1,94,Television,Episodic series,United States of America,11222
525140,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:30:00 PM,12/31/2019 01:01:40 PM,"Mayor's Office of Film, Theatre & Broadcasting","MONTAGUE STREET between COURT STREET and CLINTON STREET,  EVERIT STREET between DOUGHTY STREET and OLD FULTON STREET",Brooklyn,2,84,Still Photography,Not Applicable,United States of America,11201
525201,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 11:00:00 PM,01/01/2020 01:43:32 PM,"Mayor's Office of Film, Theatre & Broadcasting",35 STREET between 34 AVENUE and 35 AVENUE,Queens,1,114,Television,Episodic series,United States of America,11106
525544,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 08:00:00 PM,01/03/2020 02:29:35 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   55 STREET between 9 AVENUE and 10 AVENUE,Manhattan,"14, 4","18, 70",WEB,Not Applicable,United States of America,"10019, 11226"
524452,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/20/2019 12:01:07 PM,"Mayor's Office of Film, Theatre & Broadcasting","37 STREET between 34 AVENUE and 35 AVENUE,  35 AVENUE between 35 STREET and 36 STREET",Queens,1,114,Television,Episodic series,United States of America,"11101, 11106"
524305,Shooting Permit,01/06/2020 06:00:00 AM,01/07/2020 12:00:00 AM,12/19/2019 01:19:37 PM,"Mayor's Office of Film, Theatre & Broadcasting","ALBION AVENUE between BARNWELL AVENUE and QUEENS BOULEVARD,  BARNWELL AVENUE between QUEENS BOULEVARD and POYER STREET,  BARNWELL AVENUE between ALBION AVENUE and QUEENS BOULEVARD,  SOUTH RAILROAD AVENUE between CORNISH AVENUE and POYER STREET",Queens,4,110,Television,Episodic series,United States of America,11373
524036,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/17/2019 04:44:34 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAGLE STREET between WEST STREET and FRANKLIN STREET,  WEST STREET between FREEMAN STREET and EAGLE STREET,  FREEMAN STREET between FRANKLIN STREET and WEST STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
524821,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/26/2019 05:07:07 PM,"Mayor's Office of Film, Theatre & Broadcasting","RAILROAD AVE. between DEAD END and GREENPOINT AVENUE,  JEWEL STREET between CALYER STREET and MESEROLE AVENUE,  CALYER STREET between DIAMOND STREET and JEWEL STREET,  MESEROLE AVENUE between HUMBOLDT STREET and MOULTRIE STREET,  HUMBOLDT STREET between MESEROLE AVENUE and NORMAN AVENUE",Queens,"1, 2","108, 94",Television,Episodic series,United States of America,"11101, 11222"
524687,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/24/2019 09:19:18 AM,"Mayor's Office of Film, Theatre & Broadcasting","9 AVENUE between WEST   20 STREET and WEST   22 STREET,  WEST   22 STREET between 8 AVENUE and 9 AVENUE",Manhattan,4,10,Television,Episodic series,United States of America,10011
523554,Theater Load in and Load Outs,01/06/2020 06:00:00 AM,01/20/2020 11:59:00 PM,12/13/2019 01:58:51 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   20 STREET between 8 AVENUE and 9 AVENUE,Manhattan,4,10,Theater,Theater,United States of America,10011
524504,Shooting Permit,01/06/2020 06:00:00 AM,01/06/2020 10:00:00 PM,12/20/2019 02:24:17 PM,"Mayor's Office of Film, Theatre & Broadcasting","MESEROLE AVENUE between DIAMOND STREET and JEWEL STREET,  JEWEL STREET between MESEROLE AVENUE and CALYER STREET,  DIAMOND STREET between MESEROLE AVENUE and CALYER STREET,  CALYER STREET between JEWEL STREET and MOULTRIE STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
525123,Shooting Permit,01/06/2020 07:00:00 AM,01/06/2020 10:00:00 PM,12/31/2019 10:33:57 AM,"Mayor's Office of Film, Theatre & Broadcasting","CALYER STREET between JEWEL STREET and HUMBOLDT STREET,  JEWEL STREET between CALYER STREET and MESEROLE AVENUE,  MOULTRIE STREET between CALYER STREET and MESEROLE AVENUE,  MESEROLE AVENUE between JEWEL STREET and MOULTRIE STREET,  JAVA STREET between WEST STREET and DEAD END,  KENT STREET between WEST STREET and DEAD END,  GREENPOINT AVENUE between WEST STREET and DEAD END",Brooklyn,1,94,Television,Episodic series,United States of America,11222
524191,Shooting Permit,01/06/2020 07:00:00 AM,01/06/2020 09:00:00 PM,12/18/2019 03:16:43 PM,"Mayor's Office of Film, Theatre & Broadcasting","LAUREL HILL BOULEVARD between REVIEW AVENUE and 56 ROAD,  REVIEW AVENUE between 37 STREET and LAUREL HILL BOULEVARD",Queens,2,108,Television,Episodic series,United States of America,"11101, 11378"
525336,Shooting Permit,01/06/2020 07:00:00 AM,01/06/2020 08:00:00 PM,01/02/2020 11:58:25 AM,"Mayor's Office of Film, Theatre & Broadcasting",BROADWAY between WEST   63 STREET and WEST   62 STREET,Manhattan,"64, 7","20, 22",Film,Feature,United States of America,10023
525484,Shooting Permit,01/06/2020 07:00:00 AM,01/06/2020 09:00:00 PM,01/03/2020 11:14:20 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST  139 STREET between WALNUT AVENUE and LOCUST AVENUE,  WALNUT AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between WALNUT AVENUE and LOCUST AVENUE",Bronx,1,40,Television,Episodic series,United States of America,10454
525450,Shooting Permit,01/06/2020 07:00:00 AM,01/06/2020 08:00:00 PM,01/03/2020 08:37:32 AM,"Mayor's Office of Film, Theatre & Broadcasting","GRAND STREET between MORGAN AVENUE and VANDERVOORT AVENUE,  DEVOE STREET between CATHERINE STREET and MORGAN AVENUE,  METROPOLITAN AVENUE between MORGAN AVENUE and VANDERVOORT AVENUE",Brooklyn,1,90,Television,Episodic series,United States of America,11211
524197,Shooting Permit,01/07/2020 06:00:00 AM,01/07/2020 10:00:00 PM,12/18/2019 04:11:33 PM,"Mayor's Office of Film, Theatre & Broadcasting",MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE,Brooklyn,1,94,Television,Episodic series,United States of America,11222
524282,Shooting Permit,01/07/2020 06:00:00 AM,01/07/2020 10:00:00 PM,12/19/2019 11:28:12 AM,"Mayor's Office of Film, Theatre & Broadcasting",83 STREET between DORAN AVENUE and COOPER AVENUE,Queens,5,104,Television,Episodic series,United States of America,11385
524864,Shooting Permit,01/07/2020 06:00:00 AM,01/07/2020 11:00:00 PM,12/27/2019 03:25:38 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   58 STREET between 10 AVENUE and 12 AVENUE,  11 AVENUE between WEST   57 STREET and WEST   59 STREET,  WEST   59 STREET between 10 AVENUE and 11 AVENUE,  WEST   58 STREET between 10 AVENUE and 11 AVENUE,  11 AVENUE between WEST   58 STREET and WEST   59 STREET,  EAST   99 STREET between 1 AVENUE and 2 AVENUE,  EAST   99 STREET between 2 AVENUE and 3 AVENUE,  EAST   99 STREET between 2 AVENUE and 3 AVENUE",Manhattan,"11, 4, 7","18, 20, 23",Television,Episodic series,United States of America,"10019, 10029"
525699,Shooting Permit,01/07/2020 06:00:00 AM,01/07/2020 05:00:00 PM,01/05/2020 08:08:47 PM,"Mayor's Office of Film, Theatre & Broadcasting","COOPER SQUARE between EAST    5 STREET and EAST    6 STREET,  EAST    6 STREET between COOPER SQUARE and 2 AVENUE",Manhattan,"1, 3","1, 7, 9",WEB,Not Applicable,United States of America,"10002, 10003, 10009, 10038"
525097,Shooting Permit,01/07/2020 06:00:00 AM,01/07/2020 06:30:00 PM,12/30/2019 11:19:02 PM,"Mayor's Office of Film, Theatre & Broadcasting",MADISON AVENUE between EAST   76 STREET and EAST   77 STREET,Manhattan,8,19,Documentary,Not Applicable,United States of America,"10021, 10075"
524291,Shooting Permit,01/07/2020 06:00:00 AM,01/07/2020 11:00:00 PM,12/19/2019 12:07:48 PM,"Mayor's Office of Film, Theatre & Broadcasting","43 AVENUE between 22 STREET and 21 STREET,  21ST ST between QUEENS PLAZA S and 43 AVE,  22ND ST between 43 AVE and QUEENS PLAZA S",Queens,2,108,Television,Episodic series,United States of America,11101
524506,Shooting Permit,01/07/2020 06:00:00 AM,01/07/2020 10:00:00 PM,12/20/2019 02:25:42 PM,"Mayor's Office of Film, Theatre & Broadcasting","MESEROLE AVENUE between DIAMOND STREET and JEWEL STREET,  JEWEL STREET between MESEROLE AVENUE and CALYER STREET,  DIAMOND STREET between MESEROLE AVENUE and CALYER STREET,  CALYER STREET between JEWEL STREET and MOULTRIE STREET",Brooklyn,1,94,Television,Episodic series,United States of America,11222
523978,Theater Load in and Load Outs,01/07/2020 06:00:00 AM,01/12/2020 06:00:00 AM,12/17/2019 12:25:09 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   51 STREET between 6 AVENUE and 5 AVENUE,Manhattan,5,18,Theater,Theater,United States of America,"10019, 10020"
524190,Shooting Permit,01/07/2020 07:00:00 AM,01/07/2020 10:00:00 PM,12/18/2019 03:16:15 PM,"Mayor's Office of Film, Theatre & Broadcasting","REVIEW AVENUE between LAUREL HILL BOULEVARD and 37 STREET,  LAUREL HILL BOULEVARD between 56 ROAD and REVIEW AVENUE",Queens,2,108,Television,Episodic series,United States of America,"11101, 11378"
525820,Shooting Permit,01/07/2020 07:00:00 AM,01/07/2020 10:00:00 PM,01/06/2020 01:20:06 PM,"Mayor's Office of Film, Theatre & Broadcasting","COVERT STREET between WYCKOFF AVENUE and IRVING AVENUE,  IRVING AVENUE between COVERT STREET and ELDERT STREET",Queens,"4, 5","104, 83",Television,Episodic series,United States of America,"11237, 11385"
525485,Shooting Permit,01/07/2020 07:00:00 AM,01/07/2020 09:00:00 PM,01/03/2020 11:18:05 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST  139 STREET between WALNUT AVENUE and LOCUST AVENUE,  WALNUT AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between WALNUT AVENUE and LOCUST AVENUE",Bronx,1,40,Television,Episodic series,United States of America,10454
524486,Shooting Permit,01/07/2020 07:00:00 AM,01/07/2020 09:00:00 PM,12/20/2019 01:21:11 PM,"Mayor's Office of Film, Theatre & Broadcasting","WINTHROP STREET between BROOKLYN AVENUE and KINGSTON AVENUE,  WINTHROP STREET between NEW YORK AVENUE and BROOKLYN AVENUE,  RUTLAND ROAD between BROOKLYN AVENUE and KINGSTON AVENUE,  ALBANY AVENUE between CLARKSON AVENUE and WINTHROP AVENUE",Brooklyn,9,71,Television,Episodic series,United States of America,11203
524434,Shooting Permit,01/07/2020 07:00:00 AM,01/07/2020 10:00:00 PM,12/20/2019 10:56:08 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST  119 STREET between MADISON AVENUE and 5 AVENUE,  WEST  119 STREET between 5 AVENUE and LENOX AVENUE,  EAST  120 STREET between MADISON AVENUE and 5 AVENUE,  MADISON AVENUE between EAST  119 STREET and EAST  120 STREET,  MADISON AVENUE between EAST  119 STREET and EAST  121 STREET",Manhattan,"10, 11","25, 28",Television,Episodic series,United States of America,"10026, 10035"
524312,Shooting Permit,01/07/2020 07:00:00 AM,01/07/2020 11:00:00 PM,12/19/2019 01:36:07 PM,"Mayor's Office of Film, Theatre & Broadcasting","DEKALB AVENUE between ASHLAND PLACE and WASHINGTON PARK,  SOUTH PORTLAND AVENUE between DEKALB AVENUE and LAFAYETTE AVENUE,  SOUTH OXFORD STREET between DEKALB AVENUE and LAFAYETTE AVENUE",Brooklyn,2,88,Television,Episodic series,United States of America,"11201, 11217, 11238"
525451,Shooting Permit,01/07/2020 07:00:00 AM,01/07/2020 09:00:00 PM,01/03/2020 08:47:39 AM,"Mayor's Office of Film, Theatre & Broadcasting","GRAND STREET between MORGAN AVENUE and VANDERVOORT AVENUE,  DEVOE STREET between CATHERINE STREET and MORGAN AVENUE,  METROPOLITAN AVENUE between VANDERVOORT AVENUE and MORGAN AVENUE",Brooklyn,1,90,Television,Episodic series,United States of America,11211
524997,Shooting Permit,01/07/2020 07:00:00 AM,01/07/2020 10:00:00 PM,12/30/2019 12:22:16 PM,"Mayor's Office of Film, Theatre & Broadcasting","HORATIO STREET between WEST STREET and GREENWICH STREET,  WASHINGTON STREET between GANSEVOORT STREET and JANE STREET,  EAST   21 STREET between LEXINGTON AVENUE and 3 AVENUE,  3 AVENUE between EAST   23 STREET and EAST   20 STREET,  EAST   22 STREET between PARK AVENUE SOUTH and 2 AVENUE",Manhattan,"2, 5, 6","13, 6",Television,Made for TV/mini-series,United States of America,"10010, 10014"
524370,Shooting Permit,01/07/2020 07:00:00 AM,01/07/2020 10:00:00 PM,12/19/2019 04:28:02 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST  135 STREET between RIVERSIDE DRIVE and BROADWAY,  12 AVENUE between WEST  130 STREET and WEST  133 STREET,  W 135TH ST. between DEAD END and 12TH AVE.,  12 AVENUE between WEST  135 STREET and WEST  133 STREET",Manhattan,9,"26, 30",Television,Episodic series,United States of America,"10027, 10031"
524284,Shooting Permit,01/07/2020 08:00:00 AM,01/07/2020 10:00:00 PM,12/19/2019 11:29:26 AM,"Mayor's Office of Film, Theatre & Broadcasting","BEDFORD PARK BLVD WEST between GOULDEN AVENUE and PAUL AVENUE,  GOULDEN AVENUE between BEDFORD PARK BLVD WEST and WEST  197 STREET,  BAINBRIDGE AVENUE between EAST  212 STREET and EAST  213 STREET,  WEBSTER AVENUE between EAST GUN HILL ROAD and EAST  233 STREET",Bronx,"12, 7, 8","47, 50, 52",Television,Episodic series,United States of America,"10467, 10468, 10470"
525799,Shooting Permit,01/07/2020 08:00:00 AM,01/07/2020 06:00:00 PM,01/06/2020 12:27:08 PM,"Mayor's Office of Film, Theatre & Broadcasting",COOPER AVENUE between 83 STREET and 84 STREET,Queens,5,104,Television,Episodic series,United States of America,11385
523802,Shooting Permit,01/07/2020 04:00:00 PM,01/08/2020 03:00:00 AM,12/16/2019 01:37:16 PM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   18 STREET between 8 AVENUE and 7 AVENUE,Manhattan,4,10,Still Photography,Not Applicable,United States of America,10011
525436,Shooting Permit,01/08/2020 12:00:00 AM,01/08/2020 11:59:00 PM,01/02/2020 11:50:49 PM,"Mayor's Office of Film, Theatre & Broadcasting",MADISON AVENUE between EAST   76 STREET and EAST   77 STREET,Manhattan,8,19,Documentary,Not Applicable,United States of America,"10021, 10075"
523826,Theater Load in and Load Outs,01/08/2020 12:01:00 AM,01/08/2020 11:59:00 PM,12/16/2019 02:37:30 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET",Manhattan,"11, 3","23, 9",Theater,Theater,United States of America,"10003, 10029"
525202,Shooting Permit,01/08/2020 06:00:00 AM,01/08/2020 11:00:00 PM,01/01/2020 01:44:00 PM,"Mayor's Office of Film, Theatre & Broadcasting",35 STREET between 34 AVENUE and 35 AVENUE,Queens,1,114,Television,Episodic series,United States of America,11106
525732,Shooting Permit,01/08/2020 06:00:00 AM,01/08/2020 10:00:00 PM,01/06/2020 08:48:22 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   20 STREET between 11 AVENUE and 10 AVENUE,Manhattan,4,10,Television,Episodic series,United States of America,10011
524552,Shooting Permit,01/08/2020 06:00:00 AM,01/08/2020 09:00:00 PM,12/20/2019 07:37:09 PM,"Mayor's Office of Film, Theatre & Broadcasting","METROPOLITAN AVENUE between WOODWARD AVENUE and FLUSHING AVENUE,  WOODWARD AVENUE between METROPOLITAN AVENUE and FLUSHING AVENUE,  FLUSHING AVENUE between METROPOLITAN AVENUE and ONDERDONK AVENUE,  FLUSHING AVENUE between ONDERDONK AVENUE and CYPRESS AVENUE,  MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE",Queens,"1, 5","104, 90, 94",Television,Episodic series,United States of America,"11222, 11237, 11385"
525779,Shooting Permit,01/08/2020 06:00:00 AM,01/08/2020 10:00:00 PM,01/06/2020 11:41:45 AM,"Mayor's Office of Film, Theatre & Broadcasting",83 STREET between DORAN AVENUE and COOPER AVENUE,Queens,5,104,Television,Episodic series,United States of America,11385
524535,Shooting Permit,01/08/2020 06:00:00 AM,01/08/2020 10:00:00 PM,12/20/2019 04:18:05 PM,"Mayor's Office of Film, Theatre & Broadcasting","FULTON STREET between FORT GREENE PLACE and SOUTH OXFORD STREET,  SOUTH PORTLAND AVENUE between LAFAYETTE AVENUE and FULTON STREET,  FORT GREENE PLACE between LAFAYETTE AVENUE and HANSON PLACE,  LAFAYETTE AVENUE between SAINT FELIX STREET and FORT GREENE PLACE,  SOUTH OXFORD STREET between LAFAYETTE AVENUE and FULTON STREET,  SAINT FELIX STREET between FULTON STREET and LAFAYETTE AVENUE,  ROCKWELL PLACE between FULTON STREET and LAFAYETTE AVENUE,  ASHLAND PLACE between FULTON STREET and LAFAYETTE AVENUE,  ASHLAND PLACE between DEKALB AVENUE and FULTON STREET,  LAFAYETTE AVENUE between ROCKWELL PLACE and ASHLAND PLACE",Brooklyn,2,88,Television,Episodic series,United States of America,11217
524999,Shooting Permit,01/08/2020 06:00:00 AM,01/08/2020 10:00:00 PM,12/30/2019 12:30:15 PM,"Mayor's Office of Film, Theatre & Broadcasting","CENTRAL PARK SOUTH between COLUMBUS CIRCLE and 6 AVENUE,  7 AVENUE between CENTRAL PARK SOUTH and WEST   58 STREET,  WEST   58 STREET between 9 AVENUE and 8 AVENUE",Manhattan,"4, 5, 64","18, 22",Television,Made for TV/mini-series,United States of America,10019
524459,Shooting Permit,01/08/2020 06:00:00 AM,01/08/2020 11:00:00 PM,12/20/2019 12:23:16 PM,"Mayor's Office of Film, Theatre & Broadcasting","43 AVENUE between 22 STREET and 21 STREET,  21ST ST between 43 AVENUE and QUEENS PLAZA S,  22ND ST between 43 AVE and QUEENS PLAZA S",Queens,2,108,Television,Episodic series,United States of America,11101
524533,Shooting Permit,01/08/2020 06:00:00 AM,01/08/2020 11:00:00 PM,12/20/2019 04:16:32 PM,"Mayor's Office of Film, Theatre & Broadcasting","FORT WASHINGTON AVENUE between WEST  178 STREET and WEST  174 STREET,  FORT WASHINGTON AVENUE between WEST  177 STREET and WEST  175 STREET,  WEST  176 STREET between FORT WASHINGTON AVENUE and BROADWAY,  WEST  176 STREET between BROADWAY and WADSWORTH AVENUE,  WADSWORTH AVENUE between WEST  176 STREET and WEST  175 STREET,  BROADWAY between WEST  177 STREET and WEST  176 STREET",Manhattan,12,33,Television,Episodic series,United States of America,10033
525582,Shooting Permit,01/08/2020 07:00:00 AM,01/08/2020 10:00:00 PM,01/03/2020 04:20:46 PM,"Mayor's Office of Film, Theatre & Broadcasting","JAVA STREET between WEST STREET and DEAD END,  KENT STREET between WEST STREET and DEAD END,  GREENPOINT AVENUE between WEST STREET and DEAD END",Brooklyn,1,94,Television,Episodic series,United States of America,11222
525487,Shooting Permit,01/08/2020 07:00:00 AM,01/08/2020 10:00:00 PM,01/03/2020 11:21:23 AM,"Mayor's Office of Film, Theatre & Broadcasting","EAST  139 STREET between WALNUT AVENUE and LOCUST AVENUE,  WALNUT AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between WALNUT AVENUE and LOCUST AVENUE",Bronx,1,40,Television,Episodic series,United States of America,10454
524529,Shooting Permit,01/08/2020 07:00:00 AM,01/08/2020 11:00:00 PM,12/20/2019 04:00:38 PM,"Mayor's Office of Film, Theatre & Broadcasting","NOSTRAND AVENUE between FULTON STREET and PUTMAN AVENUE,  HANCOCK STREET between NOSTRAND AVENUE and MARCY AVENUE",Brooklyn,3,79,Television,Episodic series,United States of America,11216
525720,Shooting Permit,01/08/2020 07:00:00 AM,01/08/2020 07:00:00 PM,01/05/2020 10:29:02 PM,"Mayor's Office of Film, Theatre & Broadcasting",KENMARE STREET between BOWERY and ELIZABETH STREET,Manhattan,"2, 3",5,Film,Feature,United States of America,"10002, 10012"
524518,Shooting Permit,01/08/2020 07:00:00 AM,01/08/2020 09:00:00 PM,12/20/2019 03:23:04 PM,"Mayor's Office of Film, Theatre & Broadcasting","LENOX AVENUE between WEST  111 STREET and WEST  112 STREET,  ST NICHOLAS AVENUE between WEST  111 STREET and WEST  112 STREET,  WEST  112 STREET between LENOX AVENUE and ST NICHOLAS AVENUE,  EAST  119 STREET between MADISON AVENUE and 5 AVENUE,  WEST  119 STREET between 5 AVENUE and LENOX AVENUE,  EAST  120 STREET between MADISON AVENUE and 5 AVENUE,  MADISON AVENUE between EAST  119 STREET and EAST  120 STREET,  MADISON AVENUE between EAST  119 STREET and EAST  121 STREET,  5 AVENUE between WEST  118 STREET and WEST  120 STREET",Manhattan,"10, 11","25, 28",Television,Episodic series,United States of America,"10026, 10035"
