CRASH DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/02/2020,20:20,BROOKLYN,11223,40.602478,-73.96636,"(40.602478, -73.96636)",AVENUE S                        ,OCEAN PARKWAY,,1,0,0,0,0,0,1,0,Unspecified,,,,,4363717,Sedan,,,,
11/02/2020,19:30,QUEENS,11428,40.721214,-73.74536,"(40.721214, -73.74536)",214 PLACE                       ,92 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4363724,Station Wagon/Sport Utility Vehicle,,,,
11/02/2020,11:15,BROOKLYN,11230,40.621655,-73.974625,"(40.621655, -73.974625)",,,5025      BAY PARKWAY                   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363841,Box Truck,Box Truck,,,
11/02/2020,19:00,BROOKLYN,11212,40.666187,-73.916664,"(40.666187, -73.916664)",SARATOGA AVENUE                 ,SUTTER AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4364079,Station Wagon/Sport Utility Vehicle,,,,
11/02/2020,1:26,MANHATTAN,10033,40.846153,-73.932335,"(40.846153, -73.932335)",WEST 178 STREET                 ,AMSTERDAM AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4364138,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,11:30,BRONX,10454,40.805557,-73.91047,"(40.805557, -73.91047)",BRUCKNER BOULEVARD              ,EAST 140 STREET,,2,0,0,0,0,0,2,0,Using On Board Navigation Device,Unspecified,,,,4363702,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,17:55,BRONX,10460,40.83677,-73.88597,"(40.83677, -73.88597)",EAST 174 STREET                 ,VYSE AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4363737,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/02/2020,13:43,QUEENS,11105,40.777195,-73.90739,"(40.777195, -73.90739)",21 AVENUE                       ,33 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4363820,Sedan,,,,
11/02/2020,14:33,MANHATTAN,10012,40.723022,-73.99882,"(40.723022, -73.99882)",BROADWAY                        ,SPRING STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363992,Sedan,Box Truck,,,
11/02/2020,0:09,QUEENS,11419,40.687237,-73.82754,"(40.687237, -73.82754)",103 AVENUE                      ,116 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4363580,Station Wagon/Sport Utility Vehicle,,,,
11/02/2020,0:30,QUEENS,11422,40.652554,-73.74656,"(40.652554, -73.74656)",BROOKVILLE BOULEVARD            ,149 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4363444,Sedan,Sedan,,,
11/02/2020,15:30,BRONX,10470,40.900955,-73.85119,"(40.900955, -73.85119)",,,4570      FURMAN AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363887,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,8:25,BROOKLYN,11201,40.69424,-73.995094,"(40.69424, -73.995094)",,,90        REMSEN STREET                 ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4363532,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,20:45,BROOKLYN,11224,40.57475,-74.00174,"(40.57475, -74.00174)",MERMAID AVENUE                  ,WEST 36 STREET,,4,0,0,0,0,0,4,0,Outside Car Distraction,Unspecified,,,,4364053,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/02/2020,18:57,BRONX,10461,40.85669,-73.84097,"(40.85669, -73.84097)",,,1560      PELHAM PARKWAY SOUTH          ,0,0,0,0,0,0,0,0,Unspecified,,,,,4363732,U HAUL TRU,,,,
11/02/2020,12:20,BROOKLYN,11201,40.699184,-73.99399,"(40.699184, -73.99399)",ORANGE STREET                   ,HICKS STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,4363588,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,14:50,QUEENS,11372,40.75276,-73.87539,"(40.75276, -73.87539)",92 STREET                       ,35 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4364112,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
11/02/2020,20:02,QUEENS,11369,40.75868,-73.87552,"(40.75868, -73.87552)",32 AVENUE                       ,93 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363977,Station Wagon/Sport Utility Vehicle,,,,
11/02/2020,12:00,BROOKLYN,11231,40.678925,-74.01106,"(40.678925, -74.01106)",PIONEER STREET                  ,VAN BRUNT STREET,,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,,,,4364067,Station Wagon/Sport Utility Vehicle,Box Truck,,,
11/02/2020,21:15,BROOKLYN,11234,40.630512,-73.92787,"(40.630512, -73.92787)",,,5014      AVENUE I                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363896,Sedan,Sedan,,,
11/02/2020,17:45,STATEN ISLAND,10314,40.609573,-74.12391,"(40.609573, -74.12391)",NORTH GANNON AVENUE             ,GOWER STREET,,1,0,0,0,0,0,1,0,Driver Inexperience,Driver Inattention/Distraction,Unspecified,,,4363791,Sedan,Sedan,,,
11/02/2020,10:38,BRONX,10457,40.851967,-73.897095,"(40.851967, -73.897095)",EAST 180 STREET                 ,PARK AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4364180,Subr,,,,
11/02/2020,14:25,BROOKLYN,11220,40.644455,-74.0183,"(40.644455, -74.0183)",3 AVENUE                        ,56 STREET,,1,0,0,0,0,0,1,0,Turning Improperly,Unspecified,,,,4364006,Pick-up Truck,Motorcycle,,,
11/02/2020,7:20,QUEENS,11377,40.736977,-73.91805,"(40.736977, -73.91805)",,,50-10     48 STREET                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4363401,Dump,Sedan,,,
11/02/2020,15:20,BRONX,10456,40.833187,-73.897026,"(40.833187, -73.897026)",,,1426      BOSTON ROAD                   ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363735,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,5:10,BRONX,10467,40.877888,-73.86333,"(40.877888, -73.86333)",,,3551      CARLISLE PLACE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4364129,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/02/2020,16:30,QUEENS,11365,40.733547,-73.7933,"(40.733547, -73.7933)",UTOPIA PARKWAY                  ,68 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4363691,Pick-up Truck,Sedan,,,
11/02/2020,17:15,BRONX,10452,40.84543,-73.91399,"(40.84543, -73.91399)",FEATHERBED LANE                 ,JEROME AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4364118,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/02/2020,0:00,QUEENS,11373,40.72823,-73.879425,"(40.72823, -73.879425)",,,82-08     58 AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4364564,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/03/2020,14:40,QUEENS,11004,40.752037,-73.7211,"(40.752037, -73.7211)",LITTLE NECK PARKWAY             ,260 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4363902,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/03/2020,18:50,BROOKLYN,11210,40.62625,-73.95163,"(40.62625, -73.95163)",BEDFORD AVENUE                  ,AVENUE J,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4364143,Sedan,Bike,,,
11/03/2020,0:00,BROOKLYN,11211,40.707405,-73.959946,"(40.707405, -73.959946)",HAVEMEYER STREET                ,DIVISION AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4364059,Sedan,,,,
11/03/2020,21:31,BROOKLYN,11220,40.638878,-74.00605,"(40.638878, -74.00605)",8 AVENUE                        ,54 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4364012,Station Wagon/Sport Utility Vehicle,Motorcycle,,,
11/03/2020,17:30,BROOKLYN,11210,40.63158,-73.94755,"(40.63158, -73.94755)",NOSTRAND AVENUE                 ,AVENUE H,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4364148,Bus,Station Wagon/Sport Utility Vehicle,,,
11/03/2020,10:00,QUEENS,11378,40.72965,-73.90023,"(40.72965, -73.90023)",,,53-80     65 PLACE                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4363949,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/03/2020,17:50,BROOKLYN,11236,40.648697,-73.917595,"(40.648697, -73.917595)",,,8820      AVENUE B                      ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,,4364446,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
11/03/2020,10:26,BROOKLYN,11203,40.64457,-73.94502,"(40.64457, -73.94502)",CORTELYOU ROAD                  ,EAST 34 STREET,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,4364264,Sedan,Sedan,,,
11/03/2020,19:15,QUEENS,11691,40.595985,-73.763,"(40.595985, -73.763)",SEAGIRT BOULEVARD               ,BEACH 30 STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4364072,Sedan,Pick-up Truck,,,
11/03/2020,13:10,QUEENS,11372,40.755554,-73.885376,"(40.755554, -73.885376)",NORTHERN BOULEVARD              ,82 STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4363976,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/03/2020,13:45,BRONX,10459,40.82389,-73.89585,"(40.82389, -73.89585)",KELLY STREET                    ,EAST 165 STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4364188,Sedan,Sedan,,,
11/03/2020,10:36,BRONX,10456,40.83501,-73.91206,"(40.83501, -73.91206)",EAST 169 STREET                 ,COLLEGE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4363850,Station Wagon/Sport Utility Vehicle,,,,
11/03/2020,17:15,QUEENS,11104,40.746246,-73.91524,"(40.746246, -73.91524)",49 STREET                       ,SKILLMAN AVENUE,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4364061,Bike,,,,
11/03/2020,6:40,BROOKLYN,11237,40.702503,-73.91313,"(40.702503, -73.91313)",,,255       SAINT NICHOLAS AVENUE         ,0,0,0,0,0,0,0,0,Unspecified,,,,,4363994,Station Wagon/Sport Utility Vehicle,,,,
11/03/2020,2:30,MANHATTAN,10032,40.83482,-73.9406,"(40.83482, -73.9406)",,,2017      AMSTERDAM AVENUE              ,0,0,0,0,0,0,0,0,Turning Improperly,,,,,4364172,Sedan,,,,
11/03/2020,11:23,BRONX,10466,40.888947,-73.8588,"(40.888947, -73.8588)",,,723       EAST 227 STREET               ,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4363890,Pick-up Truck,LIMO,,,
11/03/2020,13:30,BRONX,10453,40.84962,-73.91938,"(40.84962, -73.91938)",MONTGOMERY AVENUE               ,WEST 176 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4364440,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/03/2020,15:40,BRONX,10469,40.882133,-73.85571,"(40.882133, -73.85571)",,,932       EAST 220 STREET               ,1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,,,,4364146,Station Wagon/Sport Utility Vehicle,E-Bike,,,
11/03/2020,1:30,BRONX,10456,40.835297,-73.91291,"(40.835297, -73.91291)",EAST 169 STREET                 ,MORRIS AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Traffic Control Disregarded,,,,4363998,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/03/2020,9:30,STATEN ISLAND,10310,40.63239,-74.11917,"(40.63239, -74.11917)",CARY AVENUE                     ,CAROLINE STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4364114,Sedan,,,,
11/03/2020,14:00,BRONX,10461,40.849403,-73.853355,"(40.849403, -73.853355)",,,1090      MORRIS PARK AVENUE            ,0,0,0,0,0,0,0,0,Unspecified,,,,,4363918,Sedan,,,,
11/03/2020,14:55,QUEENS,11040,40.752216,-73.70509,"(40.752216, -73.70509)",,,270-14    77 AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,4363965,Sedan,,,,
11/03/2020,12:28,BROOKLYN,11214,40.5999,-73.987366,"(40.5999, -73.987366)",,,2432      84 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4363950,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
11/03/2020,8:17,BROOKLYN,11211,40.71298,-73.961266,"(40.71298, -73.961266)",,,161       SOUTH 2 STREET                ,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4364058,Sedan,,,,
11/03/2020,22:45,QUEENS,11420,40.677544,-73.8107,"(40.677544, -73.8107)",,,128-18    116 AVENUE                    ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4364076,Sedan,,,,
11/03/2020,7:57,BRONX,10460,40.84287,-73.889366,"(40.84287, -73.889366)",,,781       FAIRMOUNT PLACE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4363786,Station Wagon/Sport Utility Vehicle,,,,
